Comments|630820|2010-03-11 08:16:07|About Kingdom of Bohemia, until its dissolution in 1806, whereupon it became part of .|683|630412|630412
Comments|630826|2010-03-11 08:32:33|About Pope Pius X, Giovanni Pacelli (2 March 1876 – 9 October 1958), reigned as Pope, .|683|630820|630412
Friends|2317|4755
Friends|4755|2317
Comments|630826|2010-03-11 08:32:33|About Pope Pius X, Giovanni Pacelli (2 March 1876 – 9 October 1958), reigned as Pope, .|683|630820|630412
Comments|630813|2010-03-11 08:57:27|fine|683|630412|630412
Comments|630823|2010-03-11 09:05:19|thanks|683|630412|630412
Comments|725046|2010-03-11 09:27:19|About Frédéric Chopin, some songs to Pol. About Confederate States of America, an.|1050|725041|723156
Posts|404060|2010-03-11 09:33:35||3705
Comments|404840|2010-03-11 09:35:41|About Shak. About Glor. About Fréd. About Robi. About Nazi. About Morg. About Gimm. .|974|404837|404048
